shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,6,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,6.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,7,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,7.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,8,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,8.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,9,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,9.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,10,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,10.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,11,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,11.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,12,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,12.5,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,13,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,14,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,15,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,16,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,17,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07 LV8,Men's Shoe,Shown: White/Habanero Red/Obsidian,$110 ,18,https://www.nike.com/t/air-force-1-07-lv8-mens-shoe-WkxQct/CJ1377-100
Nike Air Force 1 '07,Men's Shoe,Shown: White/Black,$90 ,6,https://www.nike.com/t/air-force-1-07-mens-shoe-TjqcX1/CJ0952-100
