shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,5.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,6,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,6.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,7,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,7.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,8,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,8.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,9,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,9.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,10,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,10.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,11,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,11.5,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike Air Max 2090,Women's Shoe,Shown: Iced Lilac/Fire Pink/Flash Crimson/Black,$150 ,12,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CK2612-500
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,5.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,6,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,6.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,7,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,7.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,8,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,8.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,9,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,9.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,10,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,10.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,11,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,11.5,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike React Vision,Women's Shoe,Shown: Washed Coral/Sapphire/Laser Orange/Hyper Crimson,$140 ,12,https://www.nike.com/t/react-vision-womens-shoe-kGhsR6/CI7523-600
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,5.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,6,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,6.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,7,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,7.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,8,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,8.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,9,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,9.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,10,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,10.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,11,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,11.5,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike Air Zoom Pegasus 37,Women's Running Shoe,Shown: Pale Ivory/Barely Volt/Sail/Ghost,$120 ,12,https://www.nike.com/t/air-zoom-pegasus-37-womens-running-shoe-Jl0bDf/BQ9647-102
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,5.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,6,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,6.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,7,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,7.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,8,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,8.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,9,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,9.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,10,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,10.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,11,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,11.5,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
Nike React Phantom Run Flyknit 2,Women's Running Shoe,Shown: Vast Grey/Fire Pink/Team Orange/White,$140 ,12,https://www.nike.com/t/react-phantom-run-flyknit-2-womens-running-shoe-CChzR6/CJ0280-003
